"id_provincia","year","value"
23,1976,1
24,1976,1
25,1976,0
27,1976,0
28,1976,3
29,1976,4
52,1976,0
30,1976,0
31,1976,0
32,1976,0
34,1976,0
35,1976,1
36,1976,0
26,1976,0
37,1976,0
40,1976,1
41,1976,16
42,1976,0
43,1976,1
38,1976,3
44,1976,0
45,1976,1
46,1976,8
47,1976,0
48,1976,2
49,1976,0
50,1976,0
1,1977,0
2,1977,1
3,1977,0
4,1977,1
33,1977,3
5,1977,0
6,1977,1
7,1977,1
8,1977,2
9,1977,1
10,1977,1
11,1977,6
39,1977,1
12,1977,0
51,1977,1
13,1977,0
14,1977,2
15,1977,0
16,1977,0
17,1977,0
18,1977,12
19,1977,2
20,1977,0
21,1977,4
22,1977,1
23,1977,0
24,1977,0
25,1977,0
27,1977,0
28,1977,6
29,1977,5
52,1977,0
30,1977,2
31,1977,5
32,1977,0
34,1977,0
35,1977,1
36,1977,0
26,1977,1
37,1977,2
40,1977,0
41,1977,5
42,1977,0
43,1977,0
38,1977,0
44,1977,0
45,1977,0
46,1977,7
47,1977,0
48,1977,3
49,1977,0
50,1977,1
1,1978,0
2,1978,0
3,1978,0
4,1978,2
33,1978,2
5,1978,0
6,1978,1
7,1978,6
8,1978,3
9,1978,0
10,1978,0
11,1978,7
39,1978,0
12,1978,0
51,1978,0
13,1978,0
14,1978,2
15,1978,0
16,1978,0
17,1978,0
18,1978,15
19,1978,1
20,1978,1
21,1978,5
22,1978,0
23,1978,1
24,1978,1
25,1978,0
27,1978,0
28,1978,14
29,1978,1
52,1978,0
30,1978,0
31,1978,0
32,1978,0
34,1978,0
35,1978,0
36,1978,1
26,1978,0
37,1978,0
40,1978,0
41,1978,14
42,1978,0
43,1978,0
38,1978,1
44,1978,1
45,1978,1
46,1978,4
47,1978,0
48,1978,0
49,1978,0
50,1978,1
1,1979,0
2,1979,0
3,1979,0
4,1979,1
33,1979,1
5,1979,0
6,1979,0
7,1979,1
8,1979,3
9,1979,0
10,1979,0
11,1979,5
39,1979,0
12,1979,0
51,1979,0
13,1979,0
14,1979,2
15,1979,0
16,1979,0
17,1979,0
18,1979,5
19,1979,1
20,1979,0
21,1979,6
22,1979,0
23,1979,0
24,1979,0
25,1979,0
27,1979,0
28,1979,8
29,1979,0
52,1979,0
30,1979,1
31,1979,1
32,1979,0
34,1979,0
35,1979,0
36,1979,2
26,1979,0
37,1979,0
40,1979,0
41,1979,3
42,1979,0
43,1979,0
38,1979,1
44,1979,0
45,1979,0
46,1979,2
47,1979,0
48,1979,0
49,1979,0
50,1979,0
1,1980,0
2,1980,0
3,1980,0
4,1980,0
33,1980,1
5,1980,0
6,1980,0
7,1980,0
8,1980,2
9,1980,0
10,1980,0
11,1980,0
39,1980,1
12,1980,0
51,1980,1
13,1980,0
14,1980,0
15,1980,0
16,1980,0
17,1980,0
18,1980,7
19,1980,1
20,1980,0
21,1980,4
22,1980,0
23,1980,0
24,1980,1
25,1980,0
27,1980,0
28,1980,8
29,1980,0
52,1980,0
30,1980,1
31,1980,0
32,1980,0
34,1980,0
35,1980,2
36,1980,0
26,1980,0
37,1980,0
40,1980,1
41,1980,5
42,1980,0
43,1980,0
38,1980,0
44,1980,0
45,1980,0
46,1980,3
47,1980,0
48,1980,0
49,1980,0
50,1980,0
1,1981,1
2,1981,0
3,1981,0
4,1981,0
33,1981,1
5,1981,0
6,1981,0
7,1981,1
8,1981,5
9,1981,0
10,1981,0
11,1981,3
39,1981,1
12,1981,0
51,1981,0
13,1981,0
14,1981,1
15,1981,0
16,1981,0
17,1981,0
18,1981,7
19,1981,2
20,1981,0
21,1981,6
22,1981,0
23,1981,0
24,1981,0
25,1981,0
27,1981,0
28,1981,10
29,1981,0
52,1981,0
30,1981,0
31,1981,3
32,1981,0
34,1981,0
35,1981,3
36,1981,0
26,1981,0
37,1981,2
40,1981,0
41,1981,7
42,1981,1
43,1981,0
38,1981,0
44,1981,0
45,1981,0
46,1981,2
47,1981,0
48,1981,3
49,1981,0
50,1981,1
1,1982,0
2,1982,0
3,1982,0
4,1982,3
33,1982,4
5,1982,0
6,1982,0
7,1982,4
8,1982,25
9,1982,0
10,1982,0
11,1982,3
39,1982,1
12,1982,0
51,1982,0
13,1982,0
14,1982,1
15,1982,0
16,1982,0
17,1982,0
18,1982,8
19,1982,1
20,1982,0
21,1982,3
22,1982,0
23,1982,1
24,1982,1
25,1982,0
27,1982,1
28,1982,9
29,1982,0
52,1982,0
30,1982,0
31,1982,0
32,1982,0
34,1982,0
35,1982,3
36,1982,3
26,1982,0
37,1982,0
40,1982,0
41,1982,8
42,1982,0
43,1982,0
38,1982,1
44,1982,0
45,1982,0
46,1982,1
47,1982,0
48,1982,1
49,1982,0
50,1982,0
1,1983,0
2,1983,0
3,1983,1
4,1983,1
33,1983,4
5,1983,0
6,1983,4
7,1983,0
8,1983,7
9,1983,0
10,1983,1
11,1983,1
39,1983,0
12,1983,0
51,1983,0
13,1983,1
14,1983,0
15,1983,0
16,1983,1
17,1983,1
18,1983,9
19,1983,1
20,1983,1
21,1983,2
22,1983,0
23,1983,0
24,1983,0
25,1983,0
27,1983,0
28,1983,18
29,1983,2
52,1983,0
30,1983,4
31,1983,1
32,1983,0
34,1983,0
35,1983,0
36,1983,0
26,1983,0
37,1983,0
40,1983,0
41,1983,6
42,1983,0
43,1983,1
38,1983,1
44,1983,1
45,1983,2
46,1983,6
47,1983,0
48,1983,2
49,1983,0
50,1983,0
1,1984,0
2,1984,0
3,1984,0
4,1984,1
33,1984,1
5,1984,0
6,1984,0
7,1984,1
8,1984,5
9,1984,0
10,1984,0
11,1984,2
39,1984,1
12,1984,0
51,1984,0
13,1984,0
14,1984,1
15,1984,0
16,1984,0
17,1984,0
18,1984,1
19,1984,2
20,1984,0
21,1984,0
22,1984,0
23,1984,2
24,1984,1
25,1984,0
27,1984,0
28,1984,10
29,1984,1
52,1984,0
30,1984,0
31,1984,0
32,1984,0
34,1984,0
35,1984,1
36,1984,0
26,1984,0
37,1984,0
40,1984,0
41,1984,11
42,1984,0
43,1984,0
38,1984,0
44,1984,0
45,1984,0
46,1984,3
47,1984,0
48,1984,3
49,1984,0
50,1984,0
1,1985,0
2,1985,0
3,1985,0
4,1985,1
33,1985,1
5,1985,0
6,1985,0
7,1985,1
8,1985,1
9,1985,0
10,1985,0
11,1985,1
39,1985,0
12,1985,0
51,1985,0
13,1985,0
14,1985,0
15,1985,0
16,1985,0
17,1985,0
18,1985,0
19,1985,0
20,1985,0
